0,1,2,3
0.49697244,0.44669378,0.42867807,0.43959457
0.34491074,0.36033165,0.26509288,0.4139883
0.34436873,0.35217106,0.34519607,0.36644065
0.20493022,0.26192337,0.26132882,0.33949286
0.5176437,0.27264407,0.30468398,0.32005298
0.0,0.0,0.0,0.0
0.19827928,0.16427189,0.24715161,0.10465773
0.0,0.0,0.0,0.0
0.29634926,0.40584973,0.24536143,0.58599377
0.46785375,0.62671864,0.27873078,0.38651642
0.60524946,0.44910643,0.37167755,0.32633588
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.50677705,0.6185289,0.7401942,0.30951628
0.69210076,0.8911005,0.7810288,0.78582495
0.0,0.0,0.0,0.0
