0,1,2,3
-14.999962,-13.999966,-13.999966,-14.999962
-13.999966,-12.9999695,-12.9999695,-14.999962
-12.9999695,-11.999973,-11.999973,-13.999966
-11.999973,-10.999977,-10.999977,-12.9999695
-10.999977,-9.999981,-9.999981,-11.999973
-9.999981,-8.999985,-8.999985,-10.999977
-8.999985,-7.9999895,-7.9999895,-9.999981
-7.9999895,-6.9999914,-6.9999914,-8.999985
-6.9999914,-5.9999933,-5.9999933,-7.9999895
-5.9999933,-4.999995,-4.999995,-6.9999914
-4.999995,-3.9999971,-3.9999971,-5.9999933
-3.9999971,-3.9999971,-2.999998,-4.999995
-14.999962,-12.9999695,-12.9999695,-13.999966
-13.999966,-11.999973,-11.999973,-13.999966
-12.9999695,-10.999977,-10.999977,-12.9999695
-11.999973,-9.999981,-9.999981,-11.999973
-10.999977,-8.999985,-8.999985,-10.999977
-9.999981,-7.9999895,-7.9999895,-9.999981
-8.999985,-6.9999914,-6.9999914,-8.999985
-7.9999895,-5.9999933,-5.9999933,-7.9999895
-6.9999914,-4.999995,-4.999995,-6.9999914
-5.9999933,-3.9999971,-3.9999971,-5.9999933
-4.999995,-2.999998,-2.999998,-4.999995
-3.9999971,-2.999998,-1.9999993,-3.9999971
-13.999966,-11.999973,-13.999966,-12.9999695
-12.9999695,-10.999977,-112.99994,-12.9999695
-11.999973,-9.999981,-112.99994,-11.999973
-10.999977,-8.999985,-112.99994,-10.999977
-9.999981,-7.9999895,-112.99994,-9.999981
-8.999985,-6.9999914,-112.99994,-8.999985
-7.9999895,-5.9999933,-112.99994,-7.9999895
-6.9999914,-4.999995,-112.99994,-6.9999914
-5.9999933,-3.9999971,-112.99994,-5.9999933
-4.999995,-2.999998,-112.99994,-4.999995
-3.9999971,-1.9999993,-112.99994,-3.9999971
-2.999998,-1.9999993,-0.99999976,-2.999998
-12.9999695,-112.99994,-13.999966,-13.999966
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
